Line #,Point #,RU Position Easting,RU Position Northing
1,1,230857.7,4983795.6
1,1,230858.5,4983796.2
1,2,246465.1,5010051.1
1,2,230865.7,4983795.9
1,2,230866.3,4983796.0
1,3,230876.7,4983798.8
1,3,230874.2,4983799.6
1,4,230880.9,4983793.9
1,4,230885.4,4983796.2
1,5,230859.8,4983775.8
1,5,230860.0,4983775.0
1,6,230866.5,4983774.8
1,6,230867.9,4983774.4
1,7,230858.2,4983786.2
1,7,230859.5,4983786.6
1,8,230864.9,4983786.0
1,8,230865.0,4983786.6
1,9,230871.6,4983790.1
1,9,230873.0,4983785.8
1,10,230881.0,4983787.3
1,10,230883.7,4983784.8
1,11,230873.0,4983775.3
1,11,230873.2,4983775.0
1,12,NA,NA
1,12,NA,NA
1,13,230857.7,4983760.0
1,13,230861.3,4983760.1
1,14,230869.3,4983762.5
1,14,230869.2,4983760.2
1,15,230872.6,4983761.2
1,15,230872.9,4983763.0
1,16,230879.2,4983761.0
1,16,230879.0,4983762.5
